Timestamp,black_x,black_y,yellow_x,yellow_y
1727469121.827169,6.79,4.5,-9.21,4.47
1727469121.8570611,6.79,4.5,-9.21,4.47
1727469121.898908,6.79,4.5,-9.21,4.47
1727469121.921938,6.79,4.5,-9.23,4.47
1727469121.956922,-1000000,-1000000,-9.21,4.45
1727469121.9928262,-1000000,-1000000,-1000000,-1000000
1727469122.022309,6.63,4.71,-9.44,4.71
1727469122.0576158,-1000000,-1000000,-9.81,5.06
1727469122.0928588,-1000000,-1000000,-10.42,5.69
1727469122.122406,-1000000,-1000000,-11.47,6.77
1727469122.1577868,3.94,7.02,-11.92,7.1
1727469122.188282,4.18,6.81,-11.63,6.76
1727469122.2237298,4.27,6.73,-11.61,6.76
1727469122.2476,4.27,6.73,-11.61,6.76
1727469122.29516,4.27,6.73,-11.61,6.76
1727469122.3245492,4.29,6.73,-11.6,6.74
1727469122.353538,4.27,6.73,-11.6,6.76
1727469122.387409,4.27,6.73,-11.6,6.76
1727469122.4174788,4.27,6.73,-11.6,6.76
1727469122.451526,4.27,6.73,-11.6,6.74
1727469122.481327,4.27,6.73,-11.6,6.76
1727469122.521365,4.27,6.73,-11.61,6.76
1727469122.551305,4.27,6.73,-11.6,6.76
1727469122.5809002,4.29,6.73,-11.61,6.76
1727469122.6279302,4.27,6.73,-11.61,6.76
1727469122.6851242,4.27,6.73,-11.6,6.74
1727469122.7081118,4.27,6.73,-11.61,6.76
1727469122.755169,4.29,6.73,-11.6,6.76
1727469122.785312,4.27,6.73,-11.6,6.76
1727469122.814354,4.29,6.71,-11.6,6.74
1727469122.8500679,4.27,6.73,-11.61,6.76
1727469122.8848739,4.27,6.73,-11.6,6.76
1727469122.9195662,-1000000,-1000000,-1000000,-1000000
1727469122.9490602,4.32,7.42,-11.6,7.31
1727469122.983967,-1000000,-1000000,-11.48,8.56
1727469123.0130482,4.39,9.48,-11.4,9.47
1727469123.048908,4.32,9.19,-11.44,9.24
1727469123.078685,4.32,9.03,-11.44,9.15
1727469123.113811,4.32,9.03,-11.45,9.15
1727469123.149282,4.32,9.03,-11.44,9.15
1727469123.211918,4.32,9.03,-11.44,9.15
1727469123.247336,4.32,9.05,-11.44,9.15
1727469123.277077,4.32,9.03,-11.44,9.15
1727469123.311883,4.32,9.05,-11.44,9.15
1727469123.335849,4.32,9.03,-11.44,9.15
1727469123.375944,4.32,9.05,-11.45,9.15
1727469123.405834,4.32,9.03,-11.44,9.15
1727469123.4406872,4.32,9.03,-11.44,9.15
1727469123.475733,4.32,9.03,-11.44,9.15
1727469123.4996989,4.32,9.03,-11.44,9.15
1727469123.540448,4.32,9.03,-11.44,9.15
1727469123.569576,4.32,9.03,-11.44,9.16
1727469123.61652,4.32,9.03,-11.44,9.15
1727469123.640799,4.32,9.03,-11.44,9.15
1727469123.675675,4.32,9.05,-11.44,9.15
1727469123.704872,4.32,9.03,-11.44,9.15
1727469123.7399812,4.32,9.03,-11.45,9.16
1727469123.770359,4.32,9.03,-11.44,9.15
1727469123.805377,4.32,9.03,-11.44,9.15
1727469123.84,4.32,9.03,-11.44,9.15
1727469123.8700511,4.29,9.05,-11.53,9.16
1727469123.9048781,-1000000,-1000000,-1000000,-1000000
1727469123.935215,-1000000,-1000000,-11.18,9.37
1727469123.9710112,-1000000,-1000000,-10.73,9.71
1727469124.0058188,-1000000,-1000000,-9.95,10.27
1727469124.039493,-1000000,-1000000,-8.84,11.27
1727469124.069576,6.95,11.47,-8.76,11.55
1727469124.104179,6.61,11.26,-9.03,11.37
1727469124.134424,6.58,11.13,-9.03,11.36
1727469124.169555,6.58,11.13,-9.05,11.36
1727469124.204881,6.58,11.13,-9.05,11.36
1727469124.2285671,6.58,11.13,-9.03,11.36
1727469124.269664,6.58,11.13,-9.03,11.36
1727469124.3032691,6.58,11.13,-9.03,11.36
1727469124.3331451,6.58,11.13,-9.05,11.36
1727469124.368514,6.58,11.13,-9.05,11.36
1727469124.403051,6.56,11.13,-9.05,11.36
1727469124.4326248,6.58,11.13,-9.03,11.36
1727469124.4620879,6.58,11.13,-9.05,11.36
1727469124.496656,6.58,11.13,-9.03,11.36
1727469124.53192,6.58,11.13,-9.03,11.36
1727469124.561593,6.58,11.13,-9.03,11.36
1727469124.597323,6.58,11.13,-9.03,11.36
1727469124.632801,6.58,11.13,-9.03,11.36
1727469124.667449,6.58,11.13,-9.03,11.36
1727469124.697767,6.58,11.13,-9.03,11.36
1727469124.727366,6.58,11.13,-9.05,11.36
1727469124.769521,6.56,11.13,-9.03,11.36
